"Latest: Time (s)","Latest: Temperature (°C)"
0,23.4608670091
0.5,23.3402658181
1,23.2138166908
1.5,23.1396735318
2,23.087328993
2.5,23.0117079355
3,22.9186153899
3.5,22.853145778
4,22.8167686911
4.5,22.7963959147
5,22.7527360339
5.5,22.7454588616
6,22.7207153432
6.5,22.7061595105
7,22.7061595105
7.5,22.7119819169
8,22.7323595704
8.5,22.7512806115
9,22.7527360339
9.5,22.7527360339
10,22.7541914502
10.5,22.7541914502
11,22.7541914502
11.5,22.7614684416
12,22.7760219739
12.5,22.8138583654
13,22.8444156109
13.5,22.8764251998
14,22.9200701382
14.5,22.9389813499
15,22.9317079203
15.5,22.9026127818
16,22.8807899264
16.5,22.8764251998
17,22.8676955906
17.5,22.8269546451
18,22.7731113154
18.5,22.7090707259
19,22.6668556942
19.5,22.6362829348
20,22.6450182898
20.5,22.6566650798
21,22.6391947448
21.5,22.5926027627
22,22.5561982522
22.5,22.519789722
23,22.4819205363
23.5,22.4542440891
24,22.4003409514
24.5,22.3347706103
25,22.2910493194
25.5,22.2589830535
26,22.2181665083
26.5,22.1860924493
27,22.1525567555
27.5,22.1496404272
28,22.1277670364
28.5,22.1088087669
29,22.0854738056
29.5,22.0956830836
30,22.1131838622
30.5,22.1321418459
31,22.162763676
31.5,22.1977561446
32,22.2167086716
32.5,22.2239977839
33,22.226913379
33.5,22.226913379
34,22.2283711659
34.5,22.2210821604
35,22.2181665083
35.5,22.1948402638
36,22.1685960426
36.5,22.1408912677
37,22.1029752036
37.5,22.0139986467
38,21.910400343
38.5,21.8272015972
39,21.7717214716
39.5,21.7352150561
40,21.692861244
40.5,21.6358917557
41,21.5262992372
41.5,21.4795251658
42,21.4634445336
42.5,21.4342043198
43,21.3859502905
43.5,21.3479251692
44,21.2894131529
44.5,21.276245956
45,21.2689305284
45.5,21.2440563674
46,21.2250331633
46.5,21.2118623416
47,21.2030813782
47.5,21.2001543165
48,21.1986907717
48.5,21.2001543165
49,21.1913729088
49.5,21.1767364865
50,21.1562439305
50.5,21.1372134868
51,21.1123251252
51.5,21.1035403464
52,21.0830412027
52.5,21.0713265698
53,21.0566824203
53.5,21.044966412
54,21.0464309466
54.5,21.0552179528
55,21.0830412027
55.5,21.1064686438
56,21.129893663
56.5,21.1562439305
57,21.1738090905
57.5,21.1811275108
58,21.1899093084
58.5,21.1767364865
59,21.1577077452
59.5,21.1328216207
60,21.1064686438
60.5,21.0640046145
61,21.0098146973
61.5,20.967332275
62,20.8955329415
62.5,20.8222437784
63,20.8281078327
63.5,20.8588914824
64,20.8969984707
64.5,20.8662202722
65,20.8134473947
65.5,20.8075829371
66,20.7797245531
66.5,20.7841234886
67,20.7826571869
67.5,20.7914548449
68,20.8456990309
68.5,20.8896707257
69,20.9087223476
69.5,20.927772299
70,20.95121611
70.5,20.967332275
71,20.9731924057
71.5,20.9849121994
72,20.9893069616
72.5,20.9907718628
73,20.974657414
73.5,20.9849121994
74,20.9980962237
74.5,21.0024907239
75,21.0186031463
75.5,20.9834472592
76,20.967332275
76.5,20.9424249754
77,20.9013949988
77.5,20.8823427325
78,20.8530282707
78.5,20.8310397995
79,20.8193116908
79.5,20.8090490667
80,20.8046506478
80.5,20.8002521379
81,20.7885223328
81.5,20.7811908751
82,20.7797245531
82.5,20.7767918785
83,20.7694600142
83.5,20.7635943395
84,20.7591949764
84.5,20.7459963355
85,20.7357301529
85.5,20.7342635144
86,20.7254634677
86.5,20.7181298128
87,20.7122627036
87.5,20.7093290871
88,20.6990611045
88.5,20.6741224643
89,20.6682541131
89.5,20.6653198752
90,20.6667869994
90.5,20.6829246794
91,20.6887926153
91.5,20.6975942085
92,20.7078622634
92.5,20.7122627036
93,20.7166630509
93.5,20.7283968577
94,20.7342635144
94.5,20.7371967812
95,20.7547955214
95.5,20.775325526
96,20.7841234886
96.5,20.7929210857
97,20.8031844879
97.5,20.8061167975
98,20.8149134838
98.5,20.8281078327
99,20.8354376743
99.5,20.8471648989
100,20.8515624427
100.5,20.8603572603
101,20.8720831245
101.5,20.8735488126
102,20.883808351
102.5,20.8911362945
103,20.8867395582
103.5,20.8691517183
104,20.8500966048
104.5,20.8471648989
105,20.8574256944
105.5,20.9160494493
106,20.9057914377
106.5,20.9072568976
107,20.9189802208
107.5,20.927772299
108,20.9424249754
108.5,20.948285771
109,20.9893069616
109.5,20.9834472592
110,20.965867218
110.5,20.921910953
111,20.8075829371
111.5,20.7210633056
112,20.6257035765
112.5,20.5581914856
113,20.5567235825
113.5,20.5684665096
114,20.5758054939
114.5,20.5669986809
115,20.5596593781
115.5,20.5552556687
116,20.5611272599
116.5,20.5625951311
117,20.5714021352
117.5,20.5361718195
118,20.5464479624
118.5,20.5038719554
119,20.4098789776
119.5,20.3511106112
120,20.3378852898
