"Latest: Time (s)","Latest: Temperature (°C)"
0,21.2294232714
0.5,21.0669334252
1,20.9629370746
1.5,20.8779458174
2,20.8075829371
2.5,20.760661441
3,20.7137294963
3.5,20.6653198752
4,20.6271709829
4.5,20.5919503265
5,20.543511975
5.5,20.5112132897
6,20.4671612406
6.5,20.4319125807
7,20.4025338956
7.5,20.3613963509
8,20.3246590674
8.5,20.27909515
9,20.2452826807
9.5,20.2202870066
10,20.1746981807
10.5,20.1467511945
11,20.0717149327
11.5,20.0393369718
12,19.9981204066
12.5,19.9701467264
13,19.9392234348
13.5,19.9009301174
14,19.8788341054
14.5,19.849368506
15,19.8066347093
15.5,19.7786311013
16,19.7520972514
16.5,19.7196615234
17,19.6931187044
17.5,19.6636219123
18,19.6341200725
18.5,19.6119903642
19,19.581003956
19.5,19.5470599809
20,19.5190141677
20.5,19.4939165849
21,19.4702918983
21.5,19.4333716296
22,19.4038295047
22.5,19.3875790861
23,19.3550734374
23.5,19.3314289194
24,19.3077809785
24.5,19.2841296011
25,19.2471674111
25.5,19.2279437258
26,19.2028015895
26.5,19.1687794696
27,19.1436280154
27.5,19.1229120595
28,19.0992333574
28.5,19.0637086273
29,19.0400210023
29.5,19.0252144127
30,18.9881917748
30.5,18.9644926465
31,18.9363452051
31.5,18.9259737971
32,18.9052288779
32.5,18.8681773782
33,18.8578013439
33.5,18.8340820318
34,18.8029447938
34.5,18.7792168682
35,18.7525184709
35.5,18.7376839708
36,18.7154294561
36.5,18.6842675424
37,18.6575521151
37.5,18.6456770408
38,18.6085612574
38.5,18.5892573387
39,18.5714360741
39.5,18.5461855525
40,18.5253877105
40.5,18.4986432389
41,18.4793247058
41.5,18.4614899123
42,18.4377067401
42.5,18.4124327879
43,18.3916155818
43.5,18.3767442833
44,18.3618714262
44.5,18.3395592105
45,18.3112920063
45.5,18.2874836382
46,18.2726013554
46.5,18.248786408
47,18.223478569
47.5,18.2026333588
48,18.1817850126
48.5,18.1654019628
49,18.143058302
49.5,18.1147511163
50,18.0983600725
50.5,18.0789863036
51,18.0461936475
51.5,18.0297943499
52,18.0089196435
52.5,17.98804171
53,17.9686521595
53.5,17.9447842542
54,17.9179277748
54.5,17.8970356658
55,17.8850958458
55.5,17.8582273255
56,17.8343396197
56.5,17.8089541955
57,17.7984999512
57.5,17.7775889662
58,17.7536866114
58.5,17.7297798836
59,17.7148359514
59.5,17.698395642
60,17.6684988296
60.5,17.6475669477
61,17.6326135232
61.5,17.6101801269
62,17.5892387518
62.5,17.5667977611
63,17.5413598671
63.5,17.5189104427
64,17.5099295613
64.5,17.4874745715
65,17.463518184
65.5,17.4410549341
66,17.4200856111
66.5,17.4095996345
67,17.3856283876
67.5,17.3586552304
68,17.3466652843
68.5,17.3271791528
69,17.3046913469
69.5,17.2762009169
70,17.2567036687
70.5,17.2327028077
71,17.2267018584
71.5,17.2056962182
72,17.1786836563
72.5,17.1591708572
73,17.1381535673
73.5,17.1291450418
74,17.0991117764
74.5,17.0840923405
75,17.0465355446
75.5,17.0104699477
76,16.9849168914
76.5,16.9668761371
77,16.9518400818
77.5,16.9322903582
78,16.90371187
78.5,16.8871632643
79,16.870612331
79.5,16.8510491295
80,16.8390086133
80.5,16.8194401314
81,16.7968570376
81.5,16.7742695642
82,16.7531839595
82.5,16.7441460978
83,16.7155215436
83.5,16.6974392203
84,16.680861263
84.5,16.6627734914
85,16.6461905286
85.5,16.6296051638
86,16.6054766987
86.5,16.5873769982
87,16.5722917146
87.5,16.5556955878
88,16.5300422465
88.5,16.5104210574
89,16.4877769812
89.5,16.4666383977
90,16.4621081837
90.5,16.4409647642
91,16.4183066676
91.5,16.3956439722
92,16.3805329472
92.5,16.3684426487
93,16.3487931052
93.5,16.3230922889
94,16.3049469378
94.5,16.2943607713
95,16.2746980477
95.5,16.2595704826
96,16.2429277524
96.5,16.2141752598
97,16.2020666838
97.5,16.1869290732
98,16.1702752708
98.5,16.1475614273
99,16.127872248
99.5,16.108179486
100,16.0990893082
100.5,16.080906654
101,16.0596896762
101.5,16.0445321272
102,16.0187593762
102.5,16.0035960348
103,15.9853971832
103.5,15.9778134118
104,15.9505073607
104.5,15.9353343002
105,15.9125706378
105.5,15.8943561818
106,15.8852477761
106.5,15.8715836928
107,15.8518435542
107.5,15.830580798
108,15.8169096081
108.5,15.8032366342
109,15.788042345
109.5,15.7637268831
110,15.7424461992
110.5,15.7257226065
111,15.7074756136
111.5,15.6937882602
112,15.6831412891
112.5,15.6694507142
113,15.6451074282
113.5,15.6268461867
114,15.6055373026
114.5,15.5979259141
115,15.5811788687
115.5,15.555291676
116,15.5400608481
116.5,15.5217808483
117,15.5019738063
117.5,15.4958785544
118,15.4775906001
118.5,15.4562504773
119,15.4379553557
119.5,15.427281669
120,15.4105064473
