"Latest: Time (s)","Latest: Temperature (°C)"
0,19.6591969588
0.5,19.7019667617
1,19.7358801411
1.5,19.762416448
2,19.7535714596
2.5,19.6857449782
3,19.6149411573
3.5,19.5544396842
4,19.5160617054
4.5,19.4289406466
5,19.344729381
5.5,19.2634318159
6,19.2146336739
6.5,19.140668759
7,19.0622282558
7.5,18.9526417189
8,18.8444596871
8.5,18.804427665
9,18.8370471487
9.5,18.8385296854
10,18.8385296854
10.5,18.8414947152
11,18.8607659973
11.5,18.8681773782
12,18.8933733763
12.5,18.9081926098
13,18.9185652197
13.5,18.9200469638
14,18.899301242
14.5,18.8592836778
15,18.7629017459
15.5,18.6605207343
16,18.5788618654
16.5,18.5149876703
17,18.4495988194
17.5,18.3648461225
18,18.2726013554
18.5,18.2130563553
19,18.1445479923
19.5,18.0596097808
20,17.9895330982
20.5,17.9179277748
21,17.8507628809
21.5,17.8119409699
22,17.846284012
22.5,17.8985280679
23,17.9641772506
23.5,18.032776188
24,18.1102810263
24.5,18.1951878814
25,18.2711130401
25.5,18.3246824415
26,18.3841801272
26.5,18.4585172314
27,18.5135018893
27.5,18.5654951689
28,18.6041067328
28.5,18.6501303057
29,18.6872356256
29.5,18.7183969168
30,18.734716894
30.5,18.7421344754
31,18.7258153097
31.5,18.675362936
32,18.5491564295
32.5,18.4049984207
33,18.3202191046
33.5,18.2249673929
34,18.1594440077
34.5,18.0849477562
35,17.9910244699
35.5,17.8865883819
36,17.7133414638
36.5,17.5338771663
37,17.3931198962
37.5,17.2477038958
38,17.1636740888
38.5,17.0870963775
39,16.9728900261
39.5,16.8645932318
40,16.7546902012
40.5,16.6838756147
41,16.6311130237
41.5,16.5843601016
42,16.558713246
42.5,16.5119305007
43,16.4515369726
43.5,16.3684426487
44,16.3004101338
44.5,16.2504929429
45,16.1823873798
45.5,16.108179486
46,16.0460479785
46.5,15.991463812
47,15.9884305407
47.5,15.9975300957
48,16.0051124658
48.5,16.0126942977
49,16.0142105996
49.5,16.0202755921
50,16.0142105996
50.5,16.0126942977
51,16.0324045461
51.5,16.0945439321
52,16.179359479
52.5,16.2535188729
53,16.3351875342
53.5,16.504383082
54,16.6763395871
54.5,16.8134184005
55,16.9352982181
55.5,17.0735776207
56,17.1651751289
56.5,17.2267018584
57,17.2237012734
57.5,17.0916022924
58,16.9578547326
58.5,16.891676751
59,16.843523952
59.5,16.7712575694
60,16.7019600671
60.5,16.6371442641
61,16.5134399238
61.5,16.3397229103
62,16.1944981413
62.5,16.1036344928
63,16.0566583376
63.5,16.0066288752
64,15.9641612624
64.5,15.8776568373
65,15.7713260738
65.5,15.6937882602
66,15.6511937888
66.5,15.6070595125
67,15.5568146337
67.5,15.5019738063
68,15.459299342
68.5,15.4059309014
69,15.3586380457
69.5,15.3281146669
70,15.248710082
70.5,15.2196810007
71,15.2120403509
71.5,15.2105121499
72,15.1661840051
72.5,15.1111281058
73,15.0407336991
73.5,14.9932651935
74,14.9917335635
74.5,14.9963283805
75,15.0131741746
75.5,14.987138528
76,14.9197194867
76.5,14.9181866862
77,14.9197194867
77.5,14.9197194867
78,14.9365786774
78.5,14.9181866862
79,14.850719153
79.5,14.7878086759
80,14.7279282236
80.5,14.6803037946
81,14.6218924551
81.5,14.5557512815
82,14.5080388547
82.5,14.4418162471
83,14.4002102024
83.5,14.3524169448
84,14.3200266187
84.5,14.278364927
85,14.2474920462
85.5,14.2119751679
86,14.1795344626
86.5,14.1455363719
87,14.1300784228
87.5,14.0991544915
88,14.0635786898
88.5,14.0403694006
89,14.0326316204
89.5,13.9768996055
90,13.939725348
90.5,13.9211323211
91,13.8916852953
91.5,13.8684306405
92,13.8560256255
92.5,13.8343126014
93,13.8079395022
93.5,13.7862144654
94,13.769140974
94.5,13.7567217742
95,13.7380896292
95.5,13.7194534623
96,13.6992597339
96.5,13.6743994065
97,13.6526407153
97.5,13.6433138715
98,13.6246571357
98.5,13.6028857979
99,13.5873314426
99.5,13.5717742488
100,13.5577703436
100.5,13.5453204916
101,13.5266422914
101.5,13.5064029317
102,13.4877161513
102.5,13.4705829737
103,13.4503301888
103.5,13.4394228276
104,13.4144864076
104.5,13.3957792362
105,13.375508426
105.5,13.3567925541
106,13.3474330478
106.5,13.3333918224
107,13.3162271165
107.5,13.2881317876
108,13.2725191709
108.5,13.2506565755
109,13.2428471091
109.5,13.2256636909
110,13.2006632552
110.5,13.191286141
111,13.1740919962
111.5,13.1553306545
112,13.1459483795
112.5,13.1287447601
113,13.111537535
113.5,13.0896322054
114,13.0739819517
114.5,13.0692862913
115,13.0520665603
115.5,13.0364091055
116,13.0129172801
116.5,13.0003855327
117,12.9847181301
117.5,12.9753162368
118,12.9596439916
118.5,12.9471040119
119,12.9282903973
119.5,12.9157455537
120,12.8984932093
